id,name,followers,popularity,genres,main_genre,n_genres
20l5mecnunujue6imrfk0q,york,32026,54,['trance'],electronic,1
3c8wonjbfyljhfobe6rhgs,del shannon,327881,49,['doo-wop'],pop,1
6cxzzqfutm6azglugwtq5w,charlie wilson,1171480,64,['sexy drill'],hip-hop,1
6tln75ns66cyxbuz7i3tk3,pang,26629,40,['tropical house'],electronic,1
6rgfhvmgogheochhfhiypl,tom anderson,226,5,"['celtic', 'cajun', 'traditional music']",folk,3
6el0k8vg1yrsol3dj6uchk,viktor lazlo,9857,36,[],folk,0
7g1ucyeuy5edpllliu16ra,richard earnshaw,10772,36,"['funky house', 'jazz house', 'disco house']",electronic,3
3k40smapvhc8pxyyfofhff,corbin,152592,50,"['cloud rap', 'emo rap']",hip-hop,2
7uziymu1kphyx50llg0yxi,alex horwitch,19,2,[],folk,0
1feuqe7d9izi54mol5lc7t,brooke white,11763,25,['folk pop'],folk,1
2ckpcfqkmxmtqz5dmoczss,steve armour,26,0,[],classical,0
0lzac5vicy19qlaiuvib0g,cate le bon,141765,48,['art pop'],pop,1
1rfw9m8abjmb8h3jmomype,luke snyder,33,0,[],folk,0
0fktqeeyeyh71i9tdhs7co,ashes remain,329004,54,"['christian rock', 'christian alternative rock']",rock,2
4nts0oxmt67lvuoi5kjxrb,solomon burke,296823,58,"['soul', 'soul blues', 'classic soul', 'motown']",blues,4
1cqtkhb5mbby4sqjy7qr07,michael kaeshammer,5328,16,['boogie-woogie'],blues,1
7kuki4wcybxvc4orqsrwtz,stella solvieg agren's chamber choir,28,3,['choral'],classical,1
33ykp7dqn5kkmncxuojwwa,johnny vidacovich,983,8,['cajun'],blues,1
6znjd4qkl0xmzfr2bxhvod,the gizmos,6204,15,"['proto-punk', 'power pop', 'punk']",rock,3
2mvutuwz1nl7bamvitsih3,the parallax orchestra,724,34,[],rock,0
4fxgrmshh2jjhxvws8dhh1,virtual riot,361114,56,"['dubstep', 'riddim', 'deathstep', 'bass music', 'future bass', 'edm', 'drumstep', 'dub']",electronic,8
6uiokbfdjqift1nr3d95kr,narcis,934,17,['manele'],classical,1
4xac3zhhlbm5qdxbzeqger,robert randolph  the family band,81058,39,"['modern blues', 'jam band', 'blues', 'blues rock']",blues,4
7a1xxtvfuahu8u7z4kkfrc,ben wolfe,1659,21,"['jazz', 'ambient jazz']",blues,2
4tbbrhi36qp5zeryav0auj,rob wasserman,1797,12,[],country,0
1xuhngw4ejdzfvumipcz1b,children of bodom,822033,58,"['melodic death metal', 'metal', 'death metal']",rock,3
4cznernwv1jdd2jmcea6qn,solvieg agren,26,10,['choral'],classical,1
5wlpn9bfv4lisyhf4j3avs,vanessa collier,7962,24,"['retro soul', 'blues']",r&b,2
3m5hegxlb80z2zqb1893pc,loleatta holloway,52373,49,"['philly soul', 'disco', 'chicago house', 'post-disco', 'disco house']",pop,5
3awsxafrdu0sh0fnserawy,overflow,1210,14,"['christian reggaeton', 'bossa nova']",jazz,2
